"feature","platform","outcome","value_unit","value","p_value","sig_marker","n_obs","model_file","source_row","reference_category","notes"
"account_type","tt","inclusion","chi-sq","chi-sq(2) = 345.11",1.14928998151038e-75,"***",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$pTerms.table[account_type]","both","omnibus Wald via pTerms.table (parametric factor)"
"audio_is_original","tt","inclusion","pp","-3.2",0.00959619744125441,"**",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$p.table[audio_is_original]",,"binary; beta=-0.1333, SE=0.0515, z=-2.59"
"avg_sentence_len","tt","inclusion","pp","+0.2",0.794036002177946,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(avg_sentence_len)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.07; monotonic over IQR (q25=-0.623, q75=0.372 of avg_sentence_len)"
"brightness","tt","inclusion","pp","-2.0",0.189955041919999,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(brightness)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=2.80; chi-sq=5.28; monotonic over IQR (q25=-0.476, q75=0.629 of brightness)"
"caps_ratio","tt","inclusion","pp","+0.1",0.863980748671849,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(caps_ratio)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.04; monotonic over IQR (q25=-0.552, q75=0.0765 of caps_ratio)"
"caps_word_count","tt","inclusion","shape-only","non-monotonic; peak at caps_word_count=19.05, trough at caps_word_count=4.57; link-scale range 0.50",0.445352305183657,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(caps_word_count)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.254); shape evaluated over q10..q90 instead; edf=2.23; chi-sq=2.00"
"colourfulness","tt","inclusion","pp","+0.6",0.389891516356963,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(colourfulness)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.74; monotonic over IQR (q25=-0.676, q75=0.485 of colourfulness)"
"contrast","tt","inclusion","pp","+0.1",0.896773875988857,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(contrast)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.02; monotonic over IQR (q25=-0.608, q75=0.638 of contrast)"
"cta_flag","tt","inclusion","pp","+3.8",0.349548248694362,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$p.table[cta_flag]",,"binary; beta=0.1554, SE=0.1661, z=0.94"
"ellipsis_count","tt","inclusion","shape-only","non-monotonic; peak at ellipsis_count=-0.21, trough at ellipsis_count=30.09; link-scale range 2.50",0.105908999862793,"n.s.",8546,"05_modelling/05_gam/models/m_tt_inclusion.rds","summary(m_tt_inclusion)$s.table[s(ellipsis_count)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.211); shape evaluated over q10..q90 instead; edf=1.82; chi-sq=5.29"
